NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,116853.05100213987
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,137163.46581057445
b38a03232f43b11c9d0788abaf060f7366053b6d,133985.89649316604
70b682d9a3636be23f6120fa9d6b164eb3c6002d,26872.743042465532
715494628a50142ce8cb17191cfe6d0f3cae0934,128881.67482901378
e656d6bad65c93fb2880f1eba5037008c8e75774,137188.8749577522
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,154660.44764296117
11539e86171bf07d3a36f09377d7f54ebcc8406a,116099.80793790022
043c544a2104aa8a9849f1a703a08d37a2f16839,155216.49869386642
76ba050e64ad100b856f0eaabd8f539d5c7dd185,137260.48229561417
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,26883.69766584282
db4da599aab5bb08dce27094a35fd3e36cd0abce,26870.045503579455
940aede382ccb332fab15d413217695ec44ca765,138947.99781580697
9ad714b116da76d878dd399d187fccc2dd13dd63,145845.2800488337
dd34464a4d780b12a089347ad580418ac57a3055,155131.3367223743
f837a4cb05a5fd59d20138182f5e8c721eadd584,146590.66912273408
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,26869.0136978801
ca8477c8493b09f34d17bb287f9bacf2dd744c32,26873.775227277532
8b0c675d7fde14953668269d378c588f0df0498b,26887.482246346473
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,107355.13604667947
3d203727f27abd83b71732d88d8cb1cc099f363b,127652.3745709689
d30d31c8ff45094e9a992c63d4a6f68b245a341a,46189.265102258156
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,26855.222700941227
cbc301183dec912f3513ca766bf03dd565f3a38f,143792.80081876737
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,184876.08821858137
11282da1ee78c8db45a041db4c744e33df489df0,130134.2719362593
03c67f683a415c2ea09b582248bd4cb08528c19d,175953.6476546654
046e844fb06a07ba30b41521f0065a8d9c6e5024,115625.23681959951
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,122079.5135206572
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,26898.055684955692
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,26855.841080479306
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,116042.23636100216
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,154741.32414387361
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,144422.3225985239
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,159027.6059032043
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,131182.43662729097
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,141890.45505521956
59bfa081e020013410d9f60f91813964ba749bb2,127106.20455514351
f5e069ee3bc95998464e8ff5da048b7f999921ed,127120.50808624164
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,183910.81499917305
664f44258212a1f7e4086f2b4845d586c543fa3f,134032.41418377846
265cd7befa74a9f2a198fc57baec9858075f8419,113460.71980244876
6f9ac44919bbd204e0ef15185388fd2d4bc61253,138336.41762230478
78de1ee60b55766cc3eba4089e36c57139b66ebd,124683.68088759699
24550edb10f283ef4e953fd6a8fedbfa211bd456,26882.987285089708
1e61a474acdc043eb39a89c17fab34bd2ea1a940,112417.7056194196
940af68ded6af2875708611051aa7ff3f134d80b,141827.89400995302
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,129569.76349162731
c76ddf6e9f80984e901b12f9462a3cf029bea290,154889.27759557456
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,131688.1051232013
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,47994.60604877652
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,40717.31234743023
92823d467a2ced9529801e0e8a94802dd88f0c17,123841.95249690012
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,171463.74961369956
413cbb38b2e2522f8167ffb9daeac1347b281393,142057.32178521744
68985fad004092956a4b4ce94dd53dc76d07eaf7,161583.28670809243
bdca9aeb19521675af15f2c28d86f6bebc45a834,171634.23789089615
b65b19d42b7a4b644fe9f99366dcb37b120862d9,119983.61317618573
eda898aa8ec465cbac70de72ead0c6d688e5f95a,122116.55516140684
5357b6c09be4c7f3829b72f80de846a9228253cb,26892.651475934766
8d5c4481d736f6ce27976e400f4245bf10757608,134164.0411162764
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,26891.08317918928
089613ac7dca24109f84c72a97c83b2768b1df1c,26884.805694472514
527773409bf373301dbd835e59a263c035c043b8,26882.740521782358
45c95a1640ada5c9206fde19c4ccf68929c5ec0c,26854.653126516456
c4cea54435c0fd0e171eed4c215479bb3ca86113,127787.64898783264
7d5cd89c6112b9a202a025a24355135bc60848c6,148277.27328001554
b70ab62384aa80545928a311f5b5d3db2f4d87ee,147583.70216825223
c96431dd924f366d2229a7f1455388b8cd85be49,175225.6680675568
1b72da5bb82cc150ecfe71218c02f155d694230b,26883.70332335746
e429507efe1c2680cc464481850117d17083cd88,26890.363916477898
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,117770.73402711052
e724482370ae6126008ade80b564ad8d8a0a7cbd,124431.88798135775
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,178219.21981710175
c8762fee25b022eb5b4918f8f689e4fb6d19f73c,26884.421290206148
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,136580.11602687227
7f898f8939ae054359f83ee154bb91bc7dd2c959,160257.07099112682
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,136368.11107425264
82e3b12c6366008fabc238f299f117074e78de5d,110224.83336734182
0d838be0e718ceb786cdb10fcc12559e00440240,151143.83781746807
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,132577.02768149588
5a9d89465845ac2d81366275cbb1a81d627efd36,26868.464799475893
c83fe640ba466ba904ac1055e53a875289888797,137078.98181469925
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,131282.89452727395
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,118954.30864253259
328639a0c753715c30a58bae70c82f2101153eb3,124751.28592948681
ffc5eb6764d7640edfbdaf4648cd54a12c94dea9,26880.632497381856
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,163774.2477306477
f56746cc2900258507d2b32c126f8db090db856f,128567.97064165777
1a4963b5fea8bb25c67750cdafbe84b01efad177,115748.6696419811
b520c940e62f4ed684417e7eacf00d85752060da,137825.3607795345
2e170cf2651ed448991af6fc5df15167733b2d8f,137757.46750998512
6efdd93a0ae289be6bb5a400bfc1deb077d75886,99263.54665194722
